datetime,open,high,low,close,volume
2016-04-21 11:00:00+00:00,2.25289,2.25827,2.24929,2.25178,2260.0
2016-04-21 12:00:00+00:00,2.2519,2.27225,2.25178,2.26925,5045.0
2016-04-21 13:00:00+00:00,2.26914,2.27885,2.21786,2.21936,18118.0
2016-04-21 14:00:00+00:00,2.21924,2.23844,2.21387,2.23533,12175.0
2016-04-21 15:00:00+00:00,2.23521,2.2523,2.23184,2.24332,7287.0
2016-04-21 16:00:00+00:00,2.2432,2.24782,2.23733,2.24632,4123.0
2016-04-21 17:00:00+00:00,2.2462,2.24882,2.24246,2.24832,1732.0
2016-04-21 18:00:00+00:00,2.2482,2.2482,2.24009,2.24583,949.0
2016-04-21 19:00:00+00:00,2.24571,2.24633,2.24284,2.24633,411.0
2016-04-21 20:00:00+00:00,2.24612,2.24684,2.24534,2.24634,123.0
2016-04-21 22:00:00+00:00,2.24897,2.25209,2.24734,2.24984,250.0
2016-04-21 23:00:00+00:00,2.24996,2.25234,2.24735,2.2476,332.0
2016-04-22 00:00:00+00:00,2.24772,2.25185,2.24386,2.24586,1091.0
2016-04-22 01:00:00+00:00,2.24598,2.25086,2.23937,2.25061,4869.0
2016-04-22 02:00:00+00:00,2.25072,2.25185,2.24238,2.24487,2373.0
2016-04-22 03:00:00+00:00,2.24499,2.24524,2.2319,2.2349,1608.0
2016-04-22 04:00:00+00:00,2.23478,2.2354,2.23041,2.2339,714.0
2016-04-22 05:00:00+00:00,2.23379,2.24114,2.23365,2.23815,2420.0
2016-04-22 06:00:00+00:00,2.23803,2.24888,2.2369,2.24689,4228.0
2016-04-22 07:00:00+00:00,2.247,2.25288,2.2394,2.25238,2686.0
2016-04-22 08:00:00+00:00,2.2525,2.25837,2.25114,2.25239,3588.0
2016-04-22 09:00:00+00:00,2.25227,2.25638,2.24914,2.25514,2906.0
2016-04-22 10:00:00+00:00,2.25525,2.26388,2.25439,2.26276,2403.0
2016-04-22 11:00:00+00:00,2.26263,2.26288,2.25054,2.2549,2908.0
2016-04-22 12:00:00+00:00,2.25478,2.26339,2.25465,2.26139,1974.0
2016-04-22 13:00:00+00:00,2.2616,2.27737,2.2564,2.27687,8678.0
2016-04-22 14:00:00+00:00,2.27698,2.29733,2.27188,2.27388,13420.0
2016-04-22 15:00:00+00:00,2.27399,2.28086,2.26141,2.26615,7555.0
2016-04-22 16:00:00+00:00,2.26626,2.2669,2.25492,2.26066,4462.0
2016-04-22 17:00:00+00:00,2.26078,2.2704,2.26041,2.26765,2140.0
2016-04-22 18:00:00+00:00,2.26777,2.2699,2.26341,2.26741,1014.0
2016-04-22 19:00:00+00:00,2.2673,2.27041,2.26641,2.26642,545.0
2016-04-22 20:00:00+00:00,2.26621,2.26621,2.26043,2.26093,105.0
2016-04-24 22:00:00+00:00,2.26094,2.26554,2.25982,2.25994,412.0
2016-04-24 23:00:00+00:00,2.26006,2.26718,2.25795,2.26344,546.0
2016-04-25 00:00:00+00:00,2.26333,2.26333,2.25671,2.25696,632.0
2016-04-25 01:00:00+00:00,2.25707,2.26669,2.25149,2.25522,4760.0
2016-04-25 02:00:00+00:00,2.2551,2.26457,2.25372,2.25597,2409.0
2016-04-25 03:00:00+00:00,2.25585,2.25847,2.25323,2.25597,1438.0
2016-04-25 04:00:00+00:00,2.25609,2.25872,2.25473,2.25823,628.0
2016-04-25 05:00:00+00:00,2.25811,2.26048,2.25274,2.25848,2146.0
2016-04-25 06:00:00+00:00,2.25837,2.26545,2.25549,2.26411,3425.0
2016-04-25 07:00:00+00:00,2.26398,2.26472,2.24776,2.25125,2775.0
2016-04-25 08:00:00+00:00,2.25114,2.25675,2.24864,2.24976,3140.0
2016-04-25 09:00:00+00:00,2.24965,2.25051,2.24028,2.24727,2533.0
2016-04-25 10:00:00+00:00,2.24716,2.25077,2.24591,2.24778,1441.0
2016-04-25 11:00:00+00:00,2.24766,2.25726,2.24678,2.25577,2844.0
2016-04-25 12:00:00+00:00,2.25588,2.26625,2.25227,2.26276,2289.0
2016-04-25 13:00:00+00:00,2.26287,2.26825,2.25178,2.26476,7136.0
2016-04-25 14:00:00+00:00,2.26465,2.26637,2.25528,2.25953,5271.0
2016-04-25 15:00:00+00:00,2.25941,2.26577,2.25429,2.25479,3383.0
2016-04-25 16:00:00+00:00,2.2549,2.25579,2.24581,2.2493,2704.0
2016-04-25 17:00:00+00:00,2.24919,2.25205,2.24694,2.24831,1320.0
2016-04-25 18:00:00+00:00,2.24819,2.25106,2.24382,2.24457,1098.0
2016-04-25 19:00:00+00:00,2.24469,2.24882,2.24469,2.24533,448.0
